Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],General government final consumption expenditure (current US$) [NE.CON.GOVT.CD],Gross capital formation (current US$) [NE.GDI.TOTL.CD],Gross domestic savings (current US$) [NY.GDS.TOTL.CD],"Population ages 15-64, total [SP.POP.1564.TO]"
2006,YR2006,Argentina,ARG,232557260817.308,8.04715150043027,5919.01233837714,6.95553357619964,28905507926.1954,43442829424.3763,56512336635.9147,24749593
2006,YR2006,Brazil,BRA,1107640289615.23,3.96198872184988,5886.46368222667,2.83475849674375,210882714706.018,197342443065.324,227325520479.934,126082500
2006,YR2006,Chile,CHL,154788024805.808,6.31717634314714,9464.54850676993,5.20038003784155,15363192044.128,32220393580.3121,54651596910.6596,11003318
2006,YR2006,Colombia,COL,161618581266.316,6.71686869844402,3741.09283661273,5.35040251622438,22433660630.1178,37073626402.575,30311213306.5926,27752640
2006,YR2006,Guatemala,GTM,29744368110.9094,5.35139778711536,2251.08796275499,3.23821937056923,2530344290.11128,6295397982.26922,682890563.754505,7136493
2006,YR2006,Jamaica,JAM,11930171468.3796,2.89912534958872,4331.29205282124,2.36064856549274,1657081493.49217,3390854512.73806,947236169.439294,1721518
2006,YR2006,Mexico,MEX,975387131716.089,4.49507789421408,9068.29421839425,2.98443254099685,100898175645.919,222611795911.627,218409263799.178,67617392
2006,YR2006,Panama,PAN,18141666300,8.65246561056669,5348.88425269771,6.68387882043837,2375975700,5337711500,4621538000,2158940
2006,YR2006,Peru,PER,88643193061.748,7.5288990440594,3154.3313491397,6.62620063933494,9676907103.15764,17418921394.9795,25652293409.8821,17637164
2006,YR2006,Puerto Rico,PRI,87276164400,-1.40941402442895,22935.9411586313,-0.991029990749496,10329602000,12211212000,26797733400,2497019
2006,YR2006,Uruguay,URY,19579457966.0538,4.09857736415702,5887.84516224163,3.98575757274513,2209593493.2332,3810274792.92497,3540750687.48079,2091286
2007,YR2007,Argentina,ARG,287530508430.568,9.00765087504757,7245.44685667197,7.9242108884188,37348269040.9027,57791082382.3567,70385867483.0106,25080395
2007,YR2007,Brazil,BRA,1397084349956.35,6.0698706077184,7348.03071626086,4.97470189641052,264649515381.85,276892701402.085,295931312413.333,128068765
2007,YR2007,Chile,CHL,173605968179.255,4.90532450356156,10502.3507082131,3.79032075476692,17799333269.9159,36188971047.7771,60026098718.5342,11183369
2007,YR2007,Colombia,COL,206181826825.28,6.73819469090975,4714.07305530503,5.42863484691856,28308825546.0566,48358464388.8794,39631585901.46,28304272
2007,YR2007,Guatemala,GTM,33567868322.6252,6.33771869016203,2490.74912665208,4.25714892993594,2953531870.25139,7106172181.46039,840857857.766541,7350948
2007,YR2007,Jamaica,JAM,12799593017.7101,1.43195403665118,4623.74789719712,0.925752257457191,1905547157.04949,3401004737.52822,612352259.358714,1744998
2007,YR2007,Mexico,MEX,1052696282278.87,2.29144571429802,9642.68051672231,0.782569044350566,109537060449.113,243370852839.443,236110144580.077,69038033
2007,YR2007,Panama,PAN,21295984200,11.9839853947871,6166.18786213279,9.97372352372119,2654899700,7675970600,6259070200,2202709
2007,YR2007,Peru,PER,102170981144.136,8.5183877690955,3606.07068932344,7.63365404001507,10682007031.0003,22510706295.9412,30026526046.6603,17855679
2007,YR2007,Puerto Rico,PRI,89524131600,-1.16280669029354,23664.8823485096,-0.582297438193464,10512406000,11987794000,26925150600,2486115
2007,YR2007,Uruguay,URY,23410572634.3147,6.54151084168984,7026.50305539297,6.33845299381075,2687576622.21465,4571161356.56768,4330155758.16966,2102460
2008,YR2008,Argentina,ARG,361558037110.419,4.05723310346406,9020.87332314274,3.02950065191851,49293062930.4651,70766944271.4722,84213748246.6899,25420355
2008,YR2008,Brazil,BRA,1695824565983.2,5.09419544732717,8831.02311697566,4.05441066302465,319483052459.374,366626805158.687,363412057748.937,130000191
2008,YR2008,Chile,CHL,179638496278.574,3.52953055326518,10751.4816046663,2.42625274040375,19888477492.4827,48174786989.6509,51872756935.9244,11362681
2008,YR2008,Colombia,COL,242186950900.775,3.28344618616541,5472.53652992425,2.07578409424285,31832921831.5715,57448976381.8503,50308193076.9011,28865323
2008,YR2008,Guatemala,GTM,38503862830.6878,3.29352400028485,2802.46196190125,1.32165978349745,3527471785.71429,6419196256.61376,37981190.4761905,7576686
2008,YR2008,Jamaica,JAM,13709402085.3206,-0.811736703280815,4928.12640901515,-1.29807445368073,2221748799.41503,3338313435.8309,-732116300.74138,1768906
2008,YR2008,Mexico,MEX,1109989063586.62,1.14358458719401,10016.5712139986,-0.357632974929516,119096486158.657,267583330278.444,247947616018.401,70515912
2008,YR2008,Panama,PAN,25155888600,9.85565485158463,7154.274496019,7.90195601476114,3037007500,10647953000,8001600600,2246221
2008,YR2008,Peru,PER,120550599815.441,9.1265683014642,4220.61637832028,8.25060456444702,12502136094.8768,31558153046.9257,32789569021.4977,18066513
2008,YR2008,Puerto Rico,PRI,93639300000,-1.8441342497794,24898.3345857045,-1.26658345345041,10518100000,11373578000,28567400000,2476867
2008,YR2008,Uruguay,URY,30366213119.2928,7.17614466787178,9091.0790391692,6.90443582194584,3708651873.80963,7047419465.08953,5589219620.70332,2116049
2009,YR2009,Argentina,ARG,332976484577.619,-5.91852507634947,8225.13758261645,-6.85422505520184,52956236298.6285,53453089198.9967,70317826057.954,25755689
